"filename", "language", "TypeScript", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipe-rack\PipeRackContainer.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipe-rack\pipeRackModeling.ts", "TypeScript", 1767, 0, 0, 0, 0, 0, 0, 0, 0, 29, 61, 1857
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipe-rack\pipeRackUtils.ts", "TypeScript", 2632, 0, 0, 0, 0, 0, 0, 0, 0, 13, 90, 2735
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipes\PipeComponent.tsx", "TypeScript JSX", 0, 0, 0, 273, 0, 0, 0, 0, 0, 18, 27, 318
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipes\PipeEndConnector.tsx", "TypeScript JSX", 0, 0, 0, 145, 0, 0, 0, 0, 0, 15, 15, 175
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipes\PipeFlanges.tsx", "TypeScript JSX", 0, 0, 0, 202, 0, 0, 0, 0, 0, 12, 17, 231
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipes\PipesContainer.tsx", "TypeScript JSX", 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 16, 201
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipes\pipeCreationUtils.ts", "TypeScript", 1624, 0, 0, 0, 0, 0, 0, 0, 0, 44, 103, 1771
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipes\pipesUtils.ts", "TypeScript", 1631, 0, 0, 0, 0, 0, 0, 0, 0, 68, 141, 1840
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\process\PFD.ts", "TypeScript", 520, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56, 577
